Title;Price;Image;Link
CORSAIR VENGEANCE RGB DDR5 RAM 32Go (2x16Go) 6000MHz CL40 Intel XMP Compatible iCUE Mémoire d'Ordinateur - Noir (CMH32GX5M2B6000C40);131,33 €;https://m.media-amazon.com/images/I/61EVf-QxpvL._AC_UL320_.jpg;https://www.amazon.fr/CORSAIR-VENGEANCE-6000MHz-Compatible-dOrdinateur/dp/B0B62WMDZP/ref=sr_1_31?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-31
Timetec 64 Go KIT (2x32 Go) DDR4 2666MHz PC4-21300 Non-ECC Unbuffered 1.2V CL19 2Rx8 Double Rang 288 Broches UDIMM Ordinateur de Bureau Mémoire RAM Module Mise À Niveau;159,99 €;https://m.media-amazon.com/images/I/71dclNstg4L._AC_UL320_.jpg;https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNzcyMTQ5MzQ0MTIxNjUxOjE2OTcyNzg2OTc6c3BfbXRmOjIwMDQzMzAyMjYyNzA4OjowOjo&url=%2FTimetec-2666MHz-PC4-21300-Unbuffered-Non-ECC%2Fdp%2FB087Z1HTN9%2Fref%3Dsr_1_32_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DINXW8WWGX0NU%26keywords%3Dram%26qid%3D1697278697%26sprefix%3Dram%252Caps%252C131%26sr%3D8-32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Rasalas 16GB Kit DDR3 1600MHz (2x8GB) DDR3L 12800U RAM 8GB 2Rx8 DDR3L-1600 PC3-12800U Udimm CL11 1.35 V 240-Pin Desktop Arbeitsspeicher Computer Memory;24,99 €;https://m.media-amazon.com/images/I/71R8xB0GRXL._AC_UL320_.jpg;https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNzcyMTQ5MzQ0MTIxNjUxOjE2OTcyNzg2OTc6c3BfbXRmOjIwMTIzMDYxNjU0Njk4OjowOjo&url=%2FRasalas-DDR3L-1600-PC3-12800U-Arbeitsspeicher-Computer%2Fdp%2FB09TW61HQ1%2Fref%3Dsr_1_33_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DINXW8WWGX0NU%26keywords%3Dram%26qid%3D1697278697%26sprefix%3Dram%252Caps%252C131%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
motoeagle DDR3L-1600 UDIMM PC3L 12800U 16Go (2x8Go) DDR3L 1600MHz 8GB 2Rx8 PC3 12800U 240-Pin CL11 1.35V Mémoire pour Ordinateur de Bureau;24,59 €;https://m.media-amazon.com/images/I/617sTTDZSQL._AC_UL320_.jpg;https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNzcyMTQ5MzQ0MTIxNjUxOjE2OTcyNzg2OTc6c3BfbXRmOjMwMDA1MDExMjgxNzQzMjo6MDo6&url=%2Fmotoeagle-DDR3L-1600-1600MHz-240-Pin-Ordinateur%2Fdp%2FB08HS3PSPT%2Fref%3Dsr_1_34_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DINXW8WWGX0NU%26keywords%3Dram%26qid%3D1697278697%26sprefix%3Dram%252Caps%252C131%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
DUOMEIQI 8Go PC3-12800 DDR3L 1600MHz 1.35V CL11 2Rx8 204-Pin Unbuffered Non-ECC SODIMM Mémoire;14,99 €;https://m.media-amazon.com/images/I/61oGYY7OmDL._AC_UL320_.jpg;https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNzcyMTQ5MzQ0MTIxNjUxOjE2OTcyNzg2OTc6c3BfbXRmOjMwMDAxMTIxMTY2OTkzMjo6MDo6&url=%2FDUOMEIQI-PC3-12800-1600MHz-204-Pin-Unbuffered%2Fdp%2FB082NHVC63%2Fref%3Dsr_1_35_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3DINXW8WWGX0NU%26keywords%3Dram%26qid%3D1697278697%26sprefix%3Dram%252Caps%252C131%26sr%3D8-35-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
CORSAIR VENGEANCE RGB DDR5 RAM 32Go (2x16Go) 6000MHz CL36 Intel XMP Compatible iCUE Mémoire d'Ordinateur - Noir (CMH32GX5M2D6000C36);153,49 €;https://m.media-amazon.com/images/I/61XsKRKsGoL._AC_UL320_.jpg;https://www.amazon.fr/CORSAIR-VENGEANCE-6000MHz-Compatible-dOrdinateur/dp/B0B771BL4S/ref=sr_1_36?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-36
Klevv Bolt X 16 Go kit (8 Go x 2) 3200 MHz Mémoire RAM Gaming DDR4-RAM XMP 2.0 Non-RVB Haute Performance Surcadençage;51,77 €;https://m.media-amazon.com/images/I/71NNmiedQCL._AC_UL320_.jpg;https://www.amazon.fr/M%C3%A9moire-DDR4-Mise-Niveau-3200/dp/B082414XGV/ref=sr_1_37?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-37
Crucial RAM CT16G4SFD824A 16Go DDR4 2400MHz CL17 Mémoire d’ordinateur Portable;44,95 €;https://m.media-amazon.com/images/I/71oz85Vv6mL._AC_UL320_.jpg;https://www.amazon.fr/Crucial-CT16G4SFD824A-PC4-19200-260-Pin-M%C3%A9moire/dp/B019FRBHZ0/ref=sr_1_38?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-38
Lexar Thor RAM DDR4 16Go Kit (8Go x 2) 3200 MHz, DRAM 288-Pin U-DIMM PC Mémoire RAM, XMP 2.0 Memoire Haute Performance, CL16-18-18-38, 1.35V;42,99 €;https://m.media-amazon.com/images/I/51sdK61oVeL._AC_UL320_.jpg;https://www.amazon.fr/Lexar-288-Pin-M%C3%A9moire-Performance-CL16-18-18-38/dp/B0BG18LW77/ref=sr_1_39?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-39
Gigastone RAM 8Go DDR4-2666MHz PC4-21300 Unbuffered Non-ECC 1.2V CL19 260-Pin SODIMM Mémoire RAM (L'ordinateur Portable Only);29,99 €;https://m.media-amazon.com/images/I/413kXqjeV7L._AC_UL320_.jpg;https://www.amazon.fr/Gigastone-PC4-21300-Unbuffered-Ordinateur-Lordinateur/dp/B08KGGSC9R/ref=sr_1_40?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-40
